player,rank
Vlatko ?an?ar,111.0
Shaquille Harrison,111.0
Paul Millsap,111.0
PJ Dozier,111.0
Monte Morris,111.0
Markus Howard,111.0
JaVale McGee,111.0
JaMychal Green,111.0
Greg Whittington,111.0
Facundo Campazzo,111.0
Bol Bol,111.0
Aaron Nesmith,111.0
Grant Williams,111.0
Denzel Valentine,111.0
E'Twaun Moore,111.0
Daniel Theis,111.0
Cristiano Felício,111.0
Coby White,111.0
Al-Farouq Aminu,111.0
Adam Mokoka,111.0
Ty-Shon Alexander,111.0
Torrey Craig,111.0
Langston Galloway,111.0
Jevon Carter,111.0
Jalen Smith,111.0
Jae Crowder,111.0
Frank Kaminsky,111.0
Dario ari?,111.0
Jabari Parker,111.0
Cameron Payne,111.0
Cameron Johnson,111.0
Abdel Nader,111.0
Tristan Thompson,111.0
Tremont Waters,111.0
Tacko Fall,111.0
Semi Ojeleye,111.0
Romeo Langford,111.0
Robert Williams,111.0
Payton Pritchard,111.0
Marcus Smart,111.0
Luke Kornet,111.0
Kentavious Caldwell-Pope,111.0
Kyle Kuzma,111.0
Kelly Olynyk,111.0
Goran Dragi?,111.0
Derrick Jones Jr.,111.0
Carmelo Anthony,111.0
CJ Elleby,111.0
Anfernee Simons,111.0
Udonis Haslem,111.0
Tyler Herro,111.0
Trevor Ariza,111.0
Precious Achiuwa,111.0
Nemanja Bjelica,111.0
Meyers Leonard,111.0
Max Strus,111.0
KZ Okpala,111.0
Gabe Vincent,111.0
Keljin Blevins,111.0
Duncan Robinson,111.0
Dewayne Dedmon,111.0
Andre Iguodala,111.0
Thon Maker,111.0
Taurean Prince,111.0
Quinn Cook,111.0
Mfiondu Kabengele,111.0
Matthew Dellavedova,111.0
Marques Bolden,111.0
Larry Nance Jr.,111.0
Lamar Stevens,111.0
Jeremiah Martin,111.0
Harry Giles,111.0
Nassir Little,111.0
Isaac Okoro,111.0
Ricky Rubio,111.0
Justin Patton,111.0
Jae'Sean Tate,111.0
David Nwaba,111.0
Danuel House Jr.,111.0
DaQuan Jeffries,111.0
D.J. Wilson,111.0
D.J. Augustin,111.0
Cameron Reynolds,111.0
Cameron Oliver,111.0
Bruno Caboclo,111.0
Avery Bradley,111.0
Anthony Lamb,111.0
Naz Reid,111.0
Robert Covington,111.0
Juancho Hernangómez,111.0
Josh Okogie,111.0
Jordan McLaughlin,111.0
Jaylen Nowell,111.0
Jarrett Culver,111.0
Jarred Vanderbilt,111.0
Jake Layman,111.0
Jaden McDaniels,111.0
Austin Rivers,111.0
Ashton Hagans,111.0
T.J. Leaf,111.0
Rondae Hollis-Jefferson,111.0
Isaiah Hartenstein,111.0
Dylan Windler,111.0
Marc Gasol,111.0
Jerome Robinson,111.0
Jeff Green,111.0
Iman Shumpert,111.0
DeAndre Jordan,111.0
Chris Chiozza,111.0
Bruce Brown,111.0
Blake Griffin,111.0
Andre Roberson,111.0
Alize Johnson,111.0
Thomas Bryant,111.0
Rui Hachimura,111.0
Robin Lopez,111.0
Raul Neto,111.0
Ish Smith,111.0
Landry Shamet,111.0
Isaac Bonga,111.0
Garrison Mathews,111.0
D?vis Bert?ns,111.0
Deni Avdija,111.0
Daniel Gafford,111.0
Chandler Hutchison,111.0
Cassius Winston,111.0
Anthony Gill,111.0
Alex Len,111.0
Wesley Matthews,111.0
Talen Horton-Tucker,111.0
Markieff Morris,111.0
Joe Harris,111.0
Mike James,111.0
Dean Wade,111.0
Nicolas Batum,111.0
Dante Exum,111.0
Damyean Dotson,111.0
Cedi Osman,111.0
Brodric Thomas,111.0
Anderson Varejão,111.0
Yogi Ferrell,111.0
Terance Mann,111.0
Serge Ibaka,111.0
Reggie Jackson,111.0
Rajon Rondo,111.0
Patrick Patterson,111.0
Patrick Beverley,111.0
Marcus Morris,111.0
Nic Claxton,111.0
Malik Fitts,111.0
Luke Kennard,111.0
Jay Scrubb,111.0
Ivica Zubac,111.0
DeMarcus Cousins,111.0
Daniel Oturu,111.0
Amir Coffey,111.0
Tyler Johnson,111.0
Timothé Luwawu-Cabarrot,111.0
Spencer Dinwiddie,111.0
Reggie Perry,111.0
Noah Vonleh,111.0
Trey Lyles,111.0
